Date : 2020-07-24 14:14:19
Directory : /home/aya/Projects/bitcoin/src
Total : 1157 files,  351989 codes, 30370 comments, 31099 blanks, all 413458 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/aya/Projects/bitcoin/src/script/signingprovider.h                       | C++                     |         66 |         52 |         19 |        137 |
| /home/aya/Projects/bitcoin/src/script/standard.cpp                            | C++                     |        262 |         14 |         70 |        346 |
| /home/aya/Projects/bitcoin/src/script/standard.h                              | C++                     |        131 |         80 |         49 |        260 |
| /home/aya/Projects/bitcoin/src/secp256k1/.travis.yml                          | YAML                    |         98 |          5 |          6 |        109 |
| /home/aya/Projects/bitcoin/src/secp256k1/Makefile.am                          | Automake                |        135 |          1 |         19 |        155 |
| /home/aya/Projects/bitcoin/src/secp256k1/README.md                            | Markdown                |         78 |          0 |         27 |        105 |
| /home/aya/Projects/bitcoin/src/secp256k1/SECURITY.md                          | Markdown                |         10 |          0 |          6 |         16 |
| /home/aya/Projects/bitcoin/src/secp256k1/autogen.sh                           | Shell Script            |          2 |          1 |          1 |          4 |
| /home/aya/Projects/bitcoin/src/secp256k1/build-aux/m4/ax_prog_cc_for_build.m4 | Autoconf M4             |         83 |         34 |          9 |        126 |
| /home/aya/Projects/bitcoin/src/secp256k1/build-aux/m4/bitcoin_secp.m4         | Autoconf M4             |         64 |          4 |          4 |         72 |
| /home/aya/Projects/bitcoin/src/secp256k1/contrib/lax_der_parsing.c            | C                       |        120 |         16 |         15 |        151 |
| /home/aya/Projects/bitcoin/src/secp256k1/contrib/lax_der_parsing.h            | C++                     |         16 |         67 |          9 |         92 |
| /home/aya/Projects/bitcoin/src/secp256k1/contrib/lax_der_privatekey_parsing.c | C                       |         99 |         10 |          5 |        114 |
| /home/aya/Projects/bitcoin/src/secp256k1/contrib/lax_der_privatekey_parsing.h | C++                     |         23 |         58 |         10 |         91 |
| /home/aya/Projects/bitcoin/src/secp256k1/contrib/travis.sh                    | Shell Script            |         57 |          4 |          5 |         66 |
| /home/aya/Projects/bitcoin/src/secp256k1/include/secp256k1.h                  | C++                     |        231 |        483 |         51 |        765 |
| /home/aya/Projects/bitcoin/src/secp256k1/include/secp256k1_ecdh.h             | C++                     |         26 |         28 |          9 |         63 |
| /home/aya/Projects/bitcoin/src/secp256k1/include/secp256k1_preallocated.h     | C++                     |         27 |         91 |         11 |        129 |
| /home/aya/Projects/bitcoin/src/secp256k1/include/secp256k1_recovery.h         | C++                     |         44 |         56 |         11 |        111 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/asm/field_10x26_arm.s            | x86 and x86_64 Assembly |        829 |          0 |         85 |        914 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/basic-config.h                   | C++                     |         27 |          5 |          7 |         39 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench.h                          | C++                     |        109 |         11 |         14 |        134 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_ecdh.c                     | C                       |         41 |          6 |         13 |         60 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_ecmult.c                   | C                       |        169 |         17 |         29 |        215 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_internal.c                 | C                       |        307 |          5 |         70 |        382 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_recover.c                  | C                       |         46 |          5 |         12 |         63 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_sign.c                     | C                       |         42 |          5 |         12 |         59 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/bench_verify.c                   | C                       |         94 |          5 |         17 |        116 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecdsa.h                          | C++                     |         11 |          5 |          6 |         22 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecdsa_impl.h                     | C++                     |        219 |         74 |         23 |        316 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/eckey.h                          | C++                     |         14 |          5 |          7 |         26 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/eckey_impl.h                     | C++                     |         76 |          5 |         20 |        101 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult.h                         | C++                     |         22 |         18 |          9 |         49 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult_const.h                   | C++                     |          6 |         10 |          5 |         21 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult_const_impl.h              | C++                     |        178 |         62 |         29 |        269 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult_gen.h                     | C++                     |         24 |         18 |          9 |         51 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult_gen_impl.h                | C++                     |        158 |         35 |         16 |        209 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/ecmult_impl.h                    | C++                     |        858 |        233 |        126 |      1,217 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field.h                          | C++                     |         42 |         58 |         35 |        135 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_10x26.h                    | C++                     |         33 |          9 |          9 |         51 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_10x26_impl.h               | C++                     |        882 |        185 |        101 |      1,168 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_5x52.h                     | C++                     |         32 |          9 |          9 |         50 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_5x52_asm_impl.h            | C++                     |        364 |        131 |          8 |        503 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_5x52_impl.h                | C++                     |        396 |         39 |         67 |        502 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_5x52_int128_impl.h         | C++                     |        188 |         69 |         23 |        280 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/field_impl.h                     | C++                     |        241 |         28 |         52 |        321 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/gen_context.c                    | C                       |         69 |          7 |         12 |         88 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/group.h                          | C++                     |         57 |         45 |         40 |        142 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/group_impl.h                     | C++                     |        505 |        141 |         63 |        709 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/hash.h                           | C++                     |         27 |          5 |         10 |         42 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/hash_impl.h                      | C++                     |        241 |         11 |         32 |        284 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/modules/ecdh/main_impl.h         | C++                     |         48 |          6 |         18 |         72 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/modules/ecdh/tests_impl.h        | C++                     |         93 |         20 |         20 |        133 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/modules/recovery/main_impl.h     | C++                     |        131 |          8 |         22 |        161 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/modules/recovery/tests_impl.h    | C++                     |        330 |         40 |         24 |        394 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/num.h                            | C++                     |         29 |         23 |         23 |         75 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/num_gmp.h                        | C++                     |         10 |          5 |          6 |         21 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/num_gmp_impl.h                   | C++                     |        238 |         17 |         34 |        289 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/num_impl.h                       | C++                     |         13 |          6 |          6 |         25 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar.h                         | C++                     |         47 |         39 |         32 |        118 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_4x64.h                    | C++                     |          8 |          6 |          6 |         20 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_4x64_impl.h               | C++                     |        776 |        136 |         49 |        961 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_8x32.h                    | C++                     |          8 |          6 |          6 |         20 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_8x32_impl.h               | C++                     |        659 |         30 |         48 |        737 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_impl.h                    | C++                     |        263 |         56 |         24 |        343 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_low.h                     | C++                     |          6 |          6 |          6 |         18 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scalar_low_impl.h                | C++                     |         94 |          7 |         25 |        126 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scratch.h                        | C++                     |         15 |         18 |         10 |         43 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/scratch_impl.h                   | C++                     |         71 |          5 |         13 |         89 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/secp256k1.c                      | C                       |        611 |         31 |        106 |        748 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/testrand.h                       | C++                     |         13 |         14 |         12 |         39 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/testrand_impl.h                  | C++                     |         82 |         16 |         13 |        111 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/tests.c                          | C                       |      4,741 |        434 |        425 |      5,600 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/tests_exhaustive.c               | C                       |        384 |         68 |         60 |        512 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/util.h                           | C++                     |        153 |         34 |         25 |        212 |
| /home/aya/Projects/bitcoin/src/secp256k1/src/valgrind_ctime_test.c            | C                       |         89 |         13 |         18 |        120 |
| /home/aya/Projects/bitcoin/src/serialize.h                                    | C++                     |        748 |        210 |        164 |      1,122 |
| /home/aya/Projects/bitcoin/src/shutdown.cpp                                   | C++                     |         15 |          4 |          5 |         24 |
| /home/aya/Projects/bitcoin/src/shutdown.h                                     | C++                     |          6 |          4 |          4 |         14 |
| /home/aya/Projects/bitcoin/src/span.h                                         | C++                     |         94 |         96 |         19 |        209 |
| /home/aya/Projects/bitcoin/src/streams.h                                      | C++                     |        620 |        127 |        110 |        857 |
| /home/aya/Projects/bitcoin/src/support/allocators/secure.h                    | C++                     |         44 |         10 |          9 |         63 |
| /home/aya/Projects/bitcoin/src/support/allocators/zeroafterfree.h             | C++                     |         35 |          6 |          8 |         49 |
| /home/aya/Projects/bitcoin/src/support/cleanse.cpp                            | C++                     |         14 |         16 |          6 |         36 |
| /home/aya/Projects/bitcoin/src/support/cleanse.h                              | C++                     |          5 |          6 |          5 |         16 |
| /home/aya/Projects/bitcoin/src/support/events.h                               | C++                     |         42 |          3 |         12 |         57 |
| /home/aya/Projects/bitcoin/src/support/lockedpool.cpp                         | C++                     |        308 |         62 |         43 |        413 |
| /home/aya/Projects/bitcoin/src/support/lockedpool.h                           | C++                     |        105 |        103 |         33 |        241 |
| /home/aya/Projects/bitcoin/src/sync.cpp                                       | C++                     |        208 |         17 |         36 |        261 |
| /home/aya/Projects/bitcoin/src/sync.h                                         | C++                     |        247 |         67 |         51 |        365 |
| /home/aya/Projects/bitcoin/src/test/Makefile                                  | Makefile                |          6 |          0 |          1 |          7 |
| /home/aya/Projects/bitcoin/src/test/README.md                                 | Markdown                |         53 |          0 |         24 |         77 |
| /home/aya/Projects/bitcoin/src/test/addrman_tests.cpp                         | C++                     |        618 |        116 |        194 |        928 |
| /home/aya/Projects/bitcoin/src/test/allocator_tests.cpp                       | C++                     |        191 |         22 |         24 |        237 |
| /home/aya/Projects/bitcoin/src/test/amount_tests.cpp                          | C++                     |         83 |         15 |         16 |        114 |
| /home/aya/Projects/bitcoin/src/test/arith_uint256_tests.cpp                   | C++                     |        476 |         13 |         73 |        562 |
| /home/aya/Projects/bitcoin/src/test/base32_tests.cpp                          | C++                     |         26 |          4 |          7 |         37 |
| /home/aya/Projects/bitcoin/src/test/base58_tests.cpp                          | C++                     |         76 |          6 |         17 |         99 |
| /home/aya/Projects/bitcoin/src/test/base64_tests.cpp                          | C++                     |         26 |          4 |          7 |         37 |
| /home/aya/Projects/bitcoin/src/test/bech32_tests.cpp                          | C++                     |         48 |          3 |          7 |         58 |
| /home/aya/Projects/bitcoin/src/test/bip32_tests.cpp                           | C++                     |        112 |          7 |         20 |        139 |
| /home/aya/Projects/bitcoin/src/test/blockchain_tests.cpp                      | C++                     |         53 |          9 |         16 |         78 |
| /home/aya/Projects/bitcoin/src/test/blockencodings_tests.cpp                  | C++                     |        286 |         20 |         67 |        373 |
| /home/aya/Projects/bitcoin/src/test/blockfilter_index_tests.cpp               | C++                     |        231 |         19 |         57 |        307 |
| /home/aya/Projects/bitcoin/src/test/blockfilter_tests.cpp                     | C++                     |        143 |         11 |         41 |        195 |
| /home/aya/Projects/bitcoin/src/test/bloom_tests.cpp                           | C++                     |        359 |         56 |        119 |        534 |
| /home/aya/Projects/bitcoin/src/test/bswap_tests.cpp                           | C++                     |         17 |          4 |          6 |         27 |
| /home/aya/Projects/bitcoin/src/test/checkqueue_tests.cpp                      | C++                     |        364 |         52 |         33 |        449 |
| /home/aya/Projects/bitcoin/src/test/coins_tests.cpp                           | C++                     |        662 |        126 |         94 |        882 |
| /home/aya/Projects/bitcoin/src/test/compilerbug_tests.cpp                     | C++                     |         31 |          5 |          8 |         44 |
| /home/aya/Projects/bitcoin/src/test/compress_tests.cpp                        | C++                     |         92 |         13 |         33 |        138 |
| /home/aya/Projects/bitcoin/src/test/crypto_tests.cpp                          | C++                     |        626 |         57 |         71 |        754 |
| /home/aya/Projects/bitcoin/src/test/cuckoocache_tests.cpp                     | C++                     |        223 |        115 |         29 |        367 |
| /home/aya/Projects/bitcoin/src/test/data/README.md                            | Markdown                |          8 |          0 |          5 |         13 |
| /home/aya/Projects/bitcoin/src/test/data/base58_encode_decode.json            | JSON                    |         16 |          0 |          1 |         17 |
| /home/aya/Projects/bitcoin/src/test/data/blockfilters.json                    | JSON                    |         13 |          0 |          1 |         14 |
| /home/aya/Projects/bitcoin/src/test/data/key_io_invalid.json                  | JSON                    |        182 |          0 |          1 |        183 |
| /home/aya/Projects/bitcoin/src/test/data/key_io_valid.json                    | JSON                    |        533 |          0 |          1 |        534 |
| /home/aya/Projects/bitcoin/src/test/data/script_tests.json                    | JSON                    |      2,469 |          0 |        152 |      2,621 |
| /home/aya/Projects/bitcoin/src/test/data/sighash.json                         | JSON                    |        503 |          0 |          1 |        504 |
| /home/aya/Projects/bitcoin/src/test/data/tx_invalid.json                      | JSON                    |        309 |          0 |         84 |        393 |
| /home/aya/Projects/bitcoin/src/test/data/tx_valid.json                        | JSON                    |        423 |          0 |        102 |        525 |
| /home/aya/Projects/bitcoin/src/test/dbwrapper_tests.cpp                       | C++                     |        296 |         45 |         76 |        417 |
| /home/aya/Projects/bitcoin/src/test/denialofservice_tests.cpp                 | C++                     |        345 |         36 |         64 |        445 |
| /home/aya/Projects/bitcoin/src/test/descriptor_tests.cpp                      | C++                     |        225 |        102 |         42 |        369 |
| /home/aya/Projects/bitcoin/src/test/flatfile_tests.cpp                        | C++                     |         86 |         11 |         30 |        127 |
| /home/aya/Projects/bitcoin/src/test/fs_tests.cpp                              | C++                     |         48 |          5 |          5 |         58 |
| /home/aya/Projects/bitcoin/src/test/fuzz/FuzzedDataProvider.h                 | C++                     |        172 |         89 |         45 |        306 |
| /home/aya/Projects/bitcoin/src/test/fuzz/addition_overflow.cpp                | C++                     |         47 |          3 |          6 |         56 |
| /home/aya/Projects/bitcoin/src/test/fuzz/addrdb.cpp                           | C++                     |         28 |          3 |          5 |         36 |
| /home/aya/Projects/bitcoin/src/test/fuzz/asmap.cpp                            | C++                     |         38 |          6 |          6 |         50 |
| /home/aya/Projects/bitcoin/src/test/fuzz/asmap_direct.cpp                     | C++                     |         36 |          7 |          6 |         49 |
| /home/aya/Projects/bitcoin/src/test/fuzz/banman.cpp                           | C++                     |         78 |          5 |          6 |         89 |
| /home/aya/Projects/bitcoin/src/test/fuzz/base_encode_decode.cpp               | C++                     |         40 |          3 |         10 |         53 |
| /home/aya/Projects/bitcoin/src/test/fuzz/bech32.cpp                           | C++                     |         35 |          3 |          6 |         44 |
| /home/aya/Projects/bitcoin/src/test/fuzz/block.cpp                            | C++                     |         65 |          5 |          5 |         75 |
| /home/aya/Projects/bitcoin/src/test/fuzz/block_header.cpp                     | C++                     |         43 |          3 |          4 |         50 |
| /home/aya/Projects/bitcoin/src/test/fuzz/blockfilter.cpp                      | C++                     |         38 |          3 |          4 |         45 |
| /home/aya/Projects/bitcoin/src/test/fuzz/bloom_filter.cpp                     | C++                     |         64 |          3 |          5 |         72 |
